,agency_name,unit_appropriation_name,object_class_name,total_amount,bn_dol
1043,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,ADDITIONAL GROSS PAY,1863219,0.001863219
1044,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,AMOUNTS TO BE SCHEDULED,126493,0.000126493
1045,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,FRINGE BENEFITS,1431,1.431e-06
1046,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,FULL TIME SALARIED,50389324,0.050389324
1047,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,OTHER SALARIED,467909,0.000467909
1048,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING,UNSALARIED,65271,6.5271e-05
1049,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING-OTPS,CONTRACTUAL SERVICES,400186,0.000400186
1050,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING-OTPS,FIXED & MISCELLANEOUS CHARGES,150,1.5e-07
1051,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING-OTPS,OTHER SERVICES AND CHARGES,774396,0.000774396
1052,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING-OTPS,PROPERTY AND EQUIPMENT,326899,0.000326899
1053,DEPARTMENT OF PARKS AND RECREATION,DESIGN & ENGINEERING-OTPS,SUPPLIES AND MATERIALS,1522778,0.001522778
1054,DEPARTMENT OF PARKS AND RECREATION,EXEC MGMT & ADMIN,ADDITIONAL GROSS PAY,209080,0.00020908
1055,DEPARTMENT OF PARKS AND RECREATION,EXEC MGMT & ADMIN,AMOUNTS TO BE SCHEDULED,7269,7.269e-06
1056,DEPARTMENT OF PARKS AND RECREATION,EXEC MGMT & ADMIN,FULL TIME SALARIED,10240494,0.010240494
1057,DEPARTMENT OF PARKS AND RECREATION,EXEC MGMT & ADMIN,OTHER SALARIED,148154,0.000148154
1058,DEPARTMENT OF PARKS AND RECREATION,EXEC MGMT & ADMIN,UNSALARIED,16438,1.6438e-05
1059,DEPARTMENT OF PARKS AND RECREATION,EXEC MGT/ADMIN SVCS-OTPS,CONTRACTUAL SERVICES,396587,0.000396587
1060,DEPARTMENT OF PARKS AND RECREATION,EXEC MGT/ADMIN SVCS-OTPS,FIXED & MISCELLANEOUS CHARGES,3033,3.033e-06
1061,DEPARTMENT OF PARKS AND RECREATION,EXEC MGT/ADMIN SVCS-OTPS,OTHER SERVICES AND CHARGES,25108512,0.025108512
1062,DEPARTMENT OF PARKS AND RECREATION,EXEC MGT/ADMIN SVCS-OTPS,PROPERTY AND EQUIPMENT,133300,0.0001333
1063,DEPARTMENT OF PARKS AND RECREATION,EXEC MGT/ADMIN SVCS-OTPS,SUPPLIES AND MATERIALS,937918,0.000937918
1064,DEPARTMENT OF PARKS AND RECREATION,MAINT & OPERATIONS - OTPS,CONTRACTUAL SERVICES,90065013,0.090065013
1065,DEPARTMENT OF PARKS AND RECREATION,MAINT & OPERATIONS - OTPS,FIXED & MISCELLANEOUS CHARGES,18622,1.8622e-05
1066,DEPARTMENT OF PARKS AND RECREATION,MAINT & OPERATIONS - OTPS,OTHER SERVICES AND CHARGES,10419612,0.010419612
1067,DEPARTMENT OF PARKS AND RECREATION,MAINT & OPERATIONS - OTPS,PROPERTY AND EQUIPMENT,4675146,0.004675146
1068,DEPARTMENT OF PARKS AND RECREATION,MAINT & OPERATIONS - OTPS,SUPPLIES AND MATERIALS,31624985,0.031624985
1069,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,ADDITIONAL GROSS PAY,29469903,0.029469903
1070,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,AMOUNTS TO BE SCHEDULED,175889,0.000175889
1071,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,FRINGE BENEFITS,7787594,0.007787594
1072,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,FULL TIME SALARIED,244982069,0.244982069
1073,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,OTHER SALARIED,87114693,0.087114693
1074,DEPARTMENT OF PARKS AND RECREATION,MAINTENANCE & OPERATIONS,UNSALARIED,3729698,0.003729698
1075,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,ADDITIONAL GROSS PAY,2667581,0.002667581
1076,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,AMOUNTS TO BE SCHEDULED,36641,3.6641e-05
1077,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,FRINGE BENEFITS,137407,0.000137407
1078,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,FULL TIME SALARIED,24258765,0.024258765
1079,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,OTHER SALARIED,5086656,0.005086656
1080,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES,UNSALARIED,2725839,0.002725839
1081,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES-OTPS,CONTRACTUAL SERVICES,915531,0.000915531
1082,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES-OTPS,OTHER SERVICES AND CHARGES,113606,0.000113606
1083,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES-OTPS,PROPERTY AND EQUIPMENT,353796,0.000353796
1084,DEPARTMENT OF PARKS AND RECREATION,RECREATION SERVICES-OTPS,SUPPLIES AND MATERIALS,956532,0.000956532
1085,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT,ADDITIONAL GROSS PAY,424245,0.000424245
1086,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT,FULL TIME SALARIED,11695164,0.011695164
1087,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT,OTHER SALARIED,1964,1.964e-06
1088,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT,UNSALARIED,10493,1.0493e-05
1089,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT - OTPS,CONTRACTUAL SERVICES,0,0.0
1090,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT - OTPS,FIXED & MISCELLANEOUS CHARGES,800,8e-07
1091,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT - OTPS,OTHER SERVICES AND CHARGES,42761,4.2761e-05
1092,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT - OTPS,PROPERTY AND EQUIPMENT,76892,7.6892e-05
1093,DEPARTMENT OF PROBATION,EXECUTIVE MANAGEMENT - OTPS,SUPPLIES AND MATERIALS,5100,5.1e-06
1094,DEPARTMENT OF PROBATION,PROBATION SERVICES,ADDITIONAL GROSS PAY,6413560,0.00641356
1095,DEPARTMENT OF PROBATION,PROBATION SERVICES,FULL TIME SALARIED,52985853,0.052985853
1096,DEPARTMENT OF PROBATION,PROBATION SERVICES,UNSALARIED,9945,9.945e-06
1097,DEPARTMENT OF PROBATION,PROBATION SERVICES-OTPS,CONTRACTUAL SERVICES,33600568,0.033600568
1098,DEPARTMENT OF PROBATION,PROBATION SERVICES-OTPS,FIXED & MISCELLANEOUS CHARGES,885000,0.000885
1099,DEPARTMENT OF PROBATION,PROBATION SERVICES-OTPS,OTHER SERVICES AND CHARGES,8049043,0.008049043
1100,DEPARTMENT OF PROBATION,PROBATION SERVICES-OTPS,PROPERTY AND EQUIPMENT,1563971,0.001563971
1101,DEPARTMENT OF PROBATION,PROBATION SERVICES-OTPS,SUPPLIES AND MATERIALS,2493007,0.002493007
1102,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,OTHER THAN PERSONAL SERVICES,CONTRACTUAL SERVICES,465898,0.000465898
1103,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,OTHER THAN PERSONAL SERVICES,FIXED & MISCELLANEOUS CHARGES,1129,1.129e-06
1104,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,OTHER THAN PERSONAL SERVICES,OTHER SERVICES AND CHARGES,7237648,0.007237648
1105,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,OTHER THAN PERSONAL SERVICES,PROPERTY AND EQUIPMENT,2719501,0.002719501
1106,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,OTHER THAN PERSONAL SERVICES,SUPPLIES AND MATERIALS,114776,0.000114776
1107,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,PERSONAL SERVICES,ADDITIONAL GROSS PAY,67041,6.7041e-05
1108,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,PERSONAL SERVICES,AMOUNTS TO BE SCHEDULED,3712,3.712e-06
1109,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,PERSONAL SERVICES,FRINGE BENEFITS,115163,0.000115163
1110,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,PERSONAL SERVICES,FULL TIME SALARIED,4278159,0.004278159
1111,DEPARTMENT OF RECORDS AND INFORMATION SERVICES,PERSONAL SERVICES,UNSALARIED,240969,0.000240969
1112,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,ADDITIONAL GROSS PAY,8630262,0.008630262
1113,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,FRINGE BENEFITS,1728709,0.001728709
1114,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,FULL TIME SALARIED,22666408,0.022666408
1115,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT,UNSALARIED,36120,3.612e-05
1116,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,CONTRACTUAL SERVICES,2069604,0.002069604
1117,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
1118,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,OTHER SERVICES AND CHARGES,10150,1.015e-05
1119,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,PROPERTY AND EQUIPMENT,13609,1.3609e-05
1120,DEPARTMENT OF SANITATION,BUILDING MANAGEMENT-OTPS,SUPPLIES AND MATERIALS,3611632,0.003611632
1121,DEPARTMENT OF SANITATION,BUREAU OF MOTOR EQUIP,ADDITIONAL GROSS PAY,3747064,0.003747064
1122,DEPARTMENT OF SANITATION,BUREAU OF MOTOR EQUIP,FULL TIME SALARIED,72660300,0.0726603
1123,DEPARTMENT OF SANITATION,BUREAU OF MOTOR EQUIP,UNSALARIED,141496,0.000141496
1124,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,ADDITIONAL GROSS PAY,234724128,0.234724128
1125,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,FRINGE BENEFITS,41995710,0.04199571
1126,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,FULL TIME SALARIED,609502332,0.609502332
1127,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,OTHER SALARIED,7392682,0.007392682
1128,DEPARTMENT OF SANITATION,CLEANING & COLLECTION,UNSALARIED,56537,5.6537e-05
1129,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,CONTRACTUAL SERVICES,10176531,0.010176531
1130,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
1131,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,OTHER SERVICES AND CHARGES,10486900,0.0104869
1132,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,PROPERTY AND EQUIPMENT,1165001,0.001165001
1133,DEPARTMENT OF SANITATION,CLEANING & COLLECTION-OTPS,SUPPLIES AND MATERIALS,5915686,0.005915686
1134,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,CONTRACTUAL SERVICES,7430835,0.007430835
1135,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,FIXED & MISCELLANEOUS CHARGES,16381,1.6381e-05
1136,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,OTHER SERVICES AND CHARGES,65692387,0.065692387
1137,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,PROPERTY AND EQUIPMENT,692672,0.000692672
1138,DEPARTMENT OF SANITATION,EXEC & ADMINISTRATIVE-OTPS,SUPPLIES AND MATERIALS,56610260,0.05661026
1139,DEPARTMENT OF SANITATION,EXECUTIVE ADMINISTRATIVE,ADDITIONAL GROSS PAY,16312231,0.016312231
1140,DEPARTMENT OF SANITATION,EXECUTIVE ADMINISTRATIVE,FRINGE BENEFITS,910421,0.000910421
1141,DEPARTMENT OF SANITATION,EXECUTIVE ADMINISTRATIVE,FULL TIME SALARIED,76314771,0.076314771
1142,DEPARTMENT OF SANITATION,EXECUTIVE ADMINISTRATIVE,UNSALARIED,2958035,0.002958035
1143,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,CONTRACTUAL SERVICES,3567516,0.003567516
1144,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,FIXED & MISCELLANEOUS CHARGES,0,0.0
1145,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,OTHER SERVICES AND CHARGES,1143599,0.001143599
1146,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,PROPERTY AND EQUIPMENT,69076,6.9076e-05
1147,DEPARTMENT OF SANITATION,MOTOR EQUIPMENT-OTPS,SUPPLIES AND MATERIALS,23570743,0.023570743
1148,DEPARTMENT OF SANITATION,SNOW BUDGET-PS,ADDITIONAL GROSS PAY,36195042,0.036195042
1149,DEPARTMENT OF SANITATION,SNOW BUDGET-PS,FULL TIME SALARIED,0,0.0
1150,DEPARTMENT OF SANITATION,SNOW BUDGET-PS,UNSALARIED,4557992,0.004557992
1151,DEPARTMENT OF SANITATION,SNOW-OTPS,CONTRACTUAL SERVICES,3744952,0.003744952
1152,DEPARTMENT OF SANITATION,SNOW-OTPS,OTHER SERVICES AND CHARGES,1824504,0.001824504
1153,DEPARTMENT OF SANITATION,SNOW-OTPS,PROPERTY AND EQUIPMENT,840568,0.000840568
1154,DEPARTMENT OF SANITATION,SNOW-OTPS,SUPPLIES AND MATERIALS,25633946,0.025633946
1155,DEPARTMENT OF SANITATION,WASTE DISPOSAL,ADDITIONAL GROSS PAY,4462733,0.004462733
1156,DEPARTMENT OF SANITATION,WASTE DISPOSAL,FRINGE BENEFITS,-102199,-0.000102199
1157,DEPARTMENT OF SANITATION,WASTE DISPOSAL,FULL TIME SALARIED,36780053,0.036780053
1158,DEPARTMENT OF SANITATION,WASTE DISPOSAL,UNSALARIED,66096,6.6096e-05
1159,DEPARTMENT OF SANITATION,WASTE DISPOSAL-OTPS,CONTRACTUAL SERVICES,531052784,0.531052784
1160,DEPARTMENT OF SANITATION,WASTE DISPOSAL-OTPS,OTHER SERVICES AND CHARGES,32439075,0.032439075
1161,DEPARTMENT OF SANITATION,WASTE DISPOSAL-OTPS,PROPERTY AND EQUIPMENT,343637,0.000343637
1162,DEPARTMENT OF SANITATION,WASTE DISPOSAL-OTPS,SUPPLIES AND MATERIALS,896199,0.000896199
1163,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS OPP - OTPS,CONTRACTUAL SERVICES,2821933,0.002821933
1164,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS OPP - OTPS,FIXED & MISCELLANEOUS CHARGES,3500,3.5e-06
1165,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS OPP - OTPS,OTHER SERVICES AND CHARGES,250586,0.000250586
1166,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS OPP - OTPS,PROPERTY AND EQUIPMENT,581,5.81e-07
1167,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS OPP - OTPS,SUPPLIES AND MATERIALS,29198,2.9198e-05
1168,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS. OPP - PS,ADDITIONAL GROSS PAY,135305,0.000135305
1169,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS. OPP - PS,FULL TIME SALARIED,3671378,0.003671378
1170,DEPARTMENT OF SMALL BUSINESS SERVICES,CONTRACT COMP & BUS. OPP - PS,UNSALARIED,62215,6.2215e-05
1171,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS O.T.P.S.,CONTRACTUAL SERVICES,56273803,0.056273803
1172,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS O.T.P.S.,FIXED & MISCELLANEOUS CHARGES,16228,1.6228e-05
1173,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS O.T.P.S.,OTHER SERVICES AND CHARGES,1888182,0.001888182
1174,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS O.T.P.S.,PROPERTY AND EQUIPMENT,194777,0.000194777
1175,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS O.T.P.S.,SUPPLIES AND MATERIALS,297643,0.000297643
1176,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS P.S.,ADDITIONAL GROSS PAY,959535,0.000959535
1177,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS P.S.,FULL TIME SALARIED,18670699,0.018670699
1178,DEPARTMENT OF SMALL BUSINESS SERVICES,DEPT. OF BUSINESS P.S.,UNSALARIED,887141,0.000887141
1179,DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPMENT CORP.,CONTRACTUAL SERVICES,63295608,0.063295608
1180,DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPMENT CORP.,FIXED & MISCELLANEOUS CHARGES,775034,0.000775034
1181,DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC DEVELOPMENT CORP.,OTHER SERVICES AND CHARGES,5297134,0.005297134
1182,DEPARTMENT OF SMALL BUSINESS SERVICES,ECONOMIC PLANNING/FILM - OTPS,SUPPLIES AND MATERIALS,0,0.0
1183,DEPARTMENT OF SMALL BUSINESS SERVICES,TRUST FOR GOVERNOR'S ISLAND AND NYC & CO,CONTRACTUAL SERVICES,39717560,0.03971756
1184,DEPARTMENT OF SMALL BUSINESS SERVICES,TRUST FOR GOVERNOR'S ISLAND AND NYC & CO,OTHER SERVICES AND CHARGES,676000,0.000676
1185,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - OTPS,CONTRACTUAL SERVICES,98549156,0.098549156
1186,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - OTPS,FIXED & MISCELLANEOUS CHARGES,5500,5.5e-06
1187,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - OTPS,OTHER SERVICES AND CHARGES,9064939,0.009064939
1188,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - OTPS,PROPERTY AND EQUIPMENT,4000,4e-06
1189,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - OTPS,SUPPLIES AND MATERIALS,197289,0.000197289
1190,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - PS,ADDITIONAL GROSS PAY,171878,0.000171878
1191,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - PS,FULL TIME SALARIED,9783061,0.009783061
1192,DEPARTMENT OF SMALL BUSINESS SERVICES,WORKFORCE INVESTMENT ACT - PS,UNSALARIED,852300,0.0008523
1193,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,ADDITIONAL GROSS PAY,6392010,0.00639201
1194,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,AMOUNTS TO BE SCHEDULED,4831,4.831e-06
1195,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,FRINGE BENEFITS,848878,0.000848878
1196,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,FULL TIME SALARIED,328815932,0.328815932
1197,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,OTHER SALARIED,2463,2.463e-06
1198,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION,UNSALARIED,785391,0.000785391
1199,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,CONTRACTUAL SERVICES,186460899,0.186460899
1200,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,FIXED & MISCELLANEOUS CHARGES,273907,0.000273907
1201,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,OTHER SERVICES AND CHARGES,208909025,0.208909025
1202,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,PROPERTY AND EQUIPMENT,13911981,0.013911981
1203,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,SOCIAL SERVICES,2972000,0.002972
1204,DEPARTMENT OF SOCIAL SERVICES,ADMINISTRATION-OTPS,SUPPLIES AND MATERIALS,25344003,0.025344003
1205,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES,ADDITIONAL GROSS PAY,3165420,0.00316542
1206,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES,FRINGE BENEFITS,1100,1.1e-06
1207,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES,FULL TIME SALARIED,111811271,0.111811271
1208,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES,UNSALARIED,5032,5.032e-06
1209,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,CONTRACTUAL SERVICES,284121023,0.284121023
1210,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,OTHER SERVICES AND CHARGES,-1596619,-0.001596619
1211,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,PROPERTY AND EQUIPMENT,489107,0.000489107
1212,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,SOCIAL SERVICES,154058784,0.154058784
1213,DEPARTMENT OF SOCIAL SERVICES,ADULT SERVICES - OTPS,SUPPLIES AND MATERIALS,2278524,0.002278524
1214,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,CONTRACTUAL SERVICES,14411222,0.014411222
1215,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,FIXED & MISCELLANEOUS CHARGES,3000000,0.003
1216,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,OTHER SERVICES AND CHARGES,115550,0.00011555
1217,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,PROPERTY AND EQUIPMENT,399919,0.000399919
1218,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,SOCIAL SERVICES,8657769,0.008657769
1219,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - OTPS,SUPPLIES AND MATERIALS,756217,0.000756217
1220,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - PS,ADDITIONAL GROSS PAY,863427,0.000863427
1221,DEPARTMENT OF SOCIAL SERVICES,CHILD SUPPORT SERVICES - PS,FULL TIME SALARIED,35824053,0.035824053
1222,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,CONTRACTUAL SERVICES,22759697,0.022759697
1223,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,OTHER SERVICES AND CHARGES,11851250,0.01185125
1224,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,PROPERTY AND EQUIPMENT,15000,1.5e-05
1225,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,SOCIAL SERVICES,12579596,0.012579596
1226,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - OTPS,SUPPLIES AND MATERIALS,146937,0.000146937
1227,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - PS,ADDITIONAL GROSS PAY,1217397,0.001217397
1228,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - PS,FRINGE BENEFITS,63442,6.3442e-05
1229,DEPARTMENT OF SOCIAL SERVICES,DOMESTIC VIOLENCE SERVICES - PS,FULL TIME SALARIED,14022789,0.014022789
1230,DEPARTMENT OF SOCIAL SERVICES,EMERGENCY FOOD - OTPS,CONTRACTUAL SERVICES,8858992,0.008858992
1231,DEPARTMENT OF SOCIAL SERVICES,EMERGENCY FOOD - OTPS,OTHER SERVICES AND CHARGES,87884,8.7884e-05
1232,DEPARTMENT OF SOCIAL SERVICES,EMERGENCY FOOD - OTPS,SUPPLIES AND MATERIALS,47567597,0.047567597
1233,DEPARTMENT OF SOCIAL SERVICES,EMERGENCY FOOD - PS,FULL TIME SALARIED,0,0.0
1234,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,CONTRACTUAL SERVICES,3265758,0.003265758
1235,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,OTHER SERVICES AND CHARGES,903608,0.000903608
1236,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,PROPERTY AND EQUIPMENT,228584,0.000228584
1237,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,SOCIAL SERVICES,80000000,0.08
1238,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - OTPS,SUPPLIES AND MATERIALS,602050,0.00060205
1239,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - PS,ADDITIONAL GROSS PAY,18105,1.8105e-05
1240,DEPARTMENT OF SOCIAL SERVICES,FAIR FARES - PS,FULL TIME SALARIED,547976,0.000547976
1241,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,CONTRACTUAL SERVICES,5035027,0.005035027
1242,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,OTHER SERVICES AND CHARGES,260000,0.00026
1243,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,PROPERTY AND EQUIPMENT,47000,4.7e-05
1244,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,SOCIAL SERVICES,58049299,0.058049299
1245,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - OTPS,SUPPLIES AND MATERIALS,595000,0.000595
1246,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - PS,ADDITIONAL GROSS PAY,50059,5.0059e-05
1247,DEPARTMENT OF SOCIAL SERVICES,HOME ENERGY ASSISTANCE - PS,FULL TIME SALARIED,1217382,0.001217382
1248,DEPARTMENT OF SOCIAL SERVICES,LEGAL SERVICES - OTPS,CONTRACTUAL SERVICES,261087677,0.261087677
1249,DEPARTMENT OF SOCIAL SERVICES,LEGAL SERVICES - OTPS,OTHER SERVICES AND CHARGES,7099926,0.007099926
1250,DEPARTMENT OF SOCIAL SERVICES,LEGAL SERVICES - OTPS,SUPPLIES AND MATERIALS,0,0.0
1251,DEPARTMENT OF SOCIAL SERVICES,LEGAL SERVICES - PS,FULL TIME SALARIED,3469608,0.003469608
1252,DEPARTMENT OF SOCIAL SERVICES,MEDICAL ASSISTANCE,ADDITIONAL GROSS PAY,7710445,0.007710445
1253,DEPARTMENT OF SOCIAL SERVICES,MEDICAL ASSISTANCE,FULL TIME SALARIED,92779309,0.092779309
1254,DEPARTMENT OF SOCIAL SERVICES,MEDICAL ASSISTANCE,UNSALARIED,95123,9.5123e-05
